KPI,Value
Total_Revenue,1078670.9794753478
Avg_Order_Value,107.86709794753477
Revenue_Per_Customer,543.1374519009807
Total_Customers,1986.0
Total_Orders,10000.0
Avg_Orders_Per_Customer,5.0352467270896275
Customer_Retention_Rate,96.27391742195368
Total_Products_Sold,50065.0
Avg_Items_Per_Order,5.0065
Total_SKUs,499.0
Avg_Purchase_Frequency_Days,81.60574018126889
Avg_Customer_Lifespan_Days,249.81873111782477
Total_Profit,269667.74486883695
Profit_Per_Customer,135.7843629752452
Customer_Acquisition_Cost,50.0
Customer_Lifetime_Value,7521.2860619986195
CLV_to_CAC_Ratio,150.4257212399724
Repeat_Purchase_Rate,96.27391742195368
Churn_Rate,10.876132930513595
